name,profile_url,rating,review_count,review_count_numeric,industry,description,salary_rating,job_security_rating,work_life_balance_rating,company_culture_rating,performance,best_rated_for,worst_rated_for
TCS,https://www.ambitionbox.com/overview/tcs-overview,3.3,1.1L,110000,"IT Services & Consulting, Financial Services, Internet, Education & Training, BPO","An IT services and consulting firm offering business solutions, committed to driving innovation for global enterprises.",2.5,3.8,3.5,3.2,Average,Job Security,Salary
Accenture,https://www.ambitionbox.com/overview/accenture-overview,3.7,73.5k,73500,"IT Services & Consulting, Analytics & KPO","Accenture plc is an Irish-American, professional services company based in Dublin, specializing in information technology services and consulting.",3.3,3.6,3.6,3.7,Good,Company Culture,Salary
Wipro,https://www.ambitionbox.com/overview/wipro-overview,3.6,65.1k,65099,"IT Services & Consulting, BPO","Wipro is a global company delivering innovation-led strategy, technology, and business consulting services.",3.0,3.7,3.6,3.6,Good,Job Security,Salary
Cognizant,https://www.ambitionbox.com/overview/cognizant-overview,3.7,61.5k,61500,IT Services & Consulting,"A leader in IT services, providing insights that empower businesses to anticipate customer needs and adapt in a dynamic environment.",3.2,3.6,3.6,3.5,Good,Job Security,Salary
Capgemini,https://www.ambitionbox.com/overview/capgemini-overview,3.6,53.4k,53400,"IT Services & Consulting, Analytics & KPO, Banking","Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value.",3.0,3.8,3.8,3.6,Good,Job Security,Salary
HDFC Bank,https://www.ambitionbox.com/overview/hdfc-bank-overview,3.8,52.4k,52400,"Financial Services, Insurance, Banking",HDFC Bank Limited is an Indian banking and financial services company headquartered in Mumbai.,3.4,3.9,3.5,3.6,Good,Job Security,Salary
Infosys,https://www.ambitionbox.com/overview/infosys-overview,3.5,48.8k,48800,N/A,N/A,4.0,N/A,N/A,N/A,Good,Salary,Salary
HCLTech,https://www.ambitionbox.com/overview/hcl-technologies-overview,3.4,46k,46000,N/A,N/A,5.0,N/A,N/A,N/A,Average,Salary,Salary
ICICI Bank,https://www.ambitionbox.com/overview/icici-bank-overview,4.0,46k,46000,"Financial Services, Banking","Leading private-sector bank in India, delivering innovative financial solutions, offering services across retail, corporate, and digital banking sectors.",3.7,4.0,3.7,3.7,Excellent,Job Security,Salary
Tech Mahindra,https://www.ambitionbox.com/overview/tech-mahindra-overview,3.4,43.3k,43300,"IT Services & Consulting, Analytics & KPO, Engineering & Construction","We are digital changemakers – here to disrupt old ideas, blaze new trails, and help enterprises transform and scale at unparalleled speed. We are Tech Mahindra!",2.9,3.3,3.4,3.2,Average,Work-Life Balance,Salary
Genpact,https://www.ambitionbox.com/overview/genpact-overview,3.6,42.4k,42400,"Analytics & KPO, Financial Services","Global leader in digital transformation, combining AI and analytics to drive growth. With $4.7 billion in 2024 revenue, it empowers businesses across industries to innovate and thrive.",3.0,3.9,3.6,3.5,Good,Job Security,Salary
TP ,https://www.ambitionbox.com/overview/tp-overview,3.9,38.6k,38600,N/A,N/A,5.0,N/A,N/A,N/A,Good,Salary,Salary
Jio,https://www.ambitionbox.com/overview/jio-overview,4.4,33.6k,33600,Telecom,"Reliance Jio revolutionizes India's digital services landscape by providing a robust, future-ready telecommunications network aimed at enhancing connectivity nationwide.",4.3,4.4,4.3,4.3,Excellent,Job Security,Salary
Axis Bank,https://www.ambitionbox.com/overview/axis-bank-overview,3.6,33.2k,33200,"Financial Services, Banking",Axis Bank is the third largest private sector bank in India offering the entire spectrum of financial services for personal & corporate banking.,3.5,3.5,3.4,3.4,Good,Salary,Work-Life Balance
Concentrix Corporation,https://www.ambitionbox.com/overview/concentrix-corporation-overview,3.6,32.3k,32299,BPO,"We’re Concentrix. A global technology and services leader that powers the world’s best brands, today and into the future.",3.1,3.9,3.4,3.5,Good,Job Security,Salary
Amazon,https://www.ambitionbox.com/overview/amazon-overview,3.9,31.4k,31400,"Internet, Retail, Logistics, IT Services & Consulting","Amazon is an American multinational technology company focusing on e-commerce, cloud computing, online advertising, digital streaming, and artificial intelligence.",3.8,3.5,3.8,4.0,Good,Company Culture,Job Security
Reliance Retail,https://www.ambitionbox.com/overview/reliance-retail-overview,3.9,27.4k,27400,Retail,N/A,5.0,N/A,N/A,N/A,Good,Salary,Salary
iEnergizer,https://www.ambitionbox.com/overview/ienergizer-overview,4.6,27.1k,27100,N/A,N/A,5.0,N/A,N/A,N/A,Excellent,Salary,Salary
LTIMindtree,https://www.ambitionbox.com/overview/ltimindtree-overview,3.6,26.5k,26500,IT Services & Consulting,"LTIMindtree operates in digital consulting and solutions, assisting enterprises in transforming their business models and enhancing growth through digital technologies.",3.2,3.5,3.7,3.5,Good,Work-Life Balance,Salary
IBM,https://www.ambitionbox.com/overview/ibm-overview,3.9,25.8k,25800,"IT Services & Consulting, Financial Services",IBM has been dedicated to every client's success and to creating innovations that matter for the world.,3.5,3.9,4.0,3.9,Good,Work-Life Balance,Salary
HDB Financial Services,https://www.ambitionbox.com/overview/hdb-financial-services-overview,3.9,25.7k,25700,"Financial Services, Banking","Leading non-banking financial company operating under a major financial group, serving over 10 million customers with loans, insurance, and collections.",3.4,3.8,3.8,3.7,Good,Job Security,Salary
Larsen & Toubro Limited,https://www.ambitionbox.com/overview/larsen-and-toubro-limited-overview,3.9,23.9k,23900,"Engineering & Construction, Real Estate","L&T is a major technology, engineering, construction, manufacturing and financial services conglomerate, with global operations.",3.8,4.0,3.4,3.6,Good,Job Security,Work-Life Balance
Deloitte,https://www.ambitionbox.com/overview/deloitte-overview,3.7,23.2k,23200,IT Services & Consulting,Management Consulting,3.6,3.7,3.2,3.6,Good,Job Security,Work-Life Balance
Kotak Mahindra Bank,https://www.ambitionbox.com/overview/kotak-mahindra-bank-overview,3.6,22.5k,22500,N/A,N/A,5.0,N/A,N/A,N/A,Good,Salary,Salary
Reliance Industries ,https://www.ambitionbox.com/overview/reliance-industries-overview,4.0,20.2k,20200,"Engineering & Construction, Telecom","Reliance Industries is a major contributor to India's economy, driving large-scale initiatives and innovations to enhance stakeholder value and national growth.",3.6,4.1,3.9,3.8,Excellent,Job Security,Salary
Vodafone Idea,https://www.ambitionbox.com/overview/vodafone-idea-overview,3.9,17.6k,17600,Telecom,Vodafone & Idea are now Vi - together for tomorrow with a commitment to deliver a delightful customer experience.,3.9,3.7,3.8,3.8,Good,Salary,Job Security
Bharti Airtel,https://www.ambitionbox.com/overview/bharti-airtel-overview,3.8,17.1k,17100,Telecom,Airtel is one of the India's largest telecom service provider for customers & businesses.,3.7,3.6,3.6,3.6,Good,Salary,Job Security
BYJU'S,https://www.ambitionbox.com/overview/byjus-overview,3.2,16.4k,16400,"Internet, Education & Training",Ed-tech company providing online schooling facilities to children,3.5,2.4,2.8,2.8,Average,Salary,Job Security
WNS,https://www.ambitionbox.com/overview/wns-overview,3.3,15.3k,15300,IT Services & Consulting,"WNS combines deep industry knowledge with technology, analytics, and process expertise to co-create innovative, digitally-led transformational solutions for various industries.",2.9,3.5,3.3,3.1,Average,Job Security,Salary
IDFC FIRST Bank,https://www.ambitionbox.com/overview/idfc-first-bank-overview,3.9,14.6k,14600,N/A,N/A,5.0,N/A,N/A,N/A,Good,Salary,Salary
Ernst & Young,https://www.ambitionbox.com/overview/ernst-young-overview,3.4,14.6k,14600,Financial Services,"At EY, our purpose is Building a better working world. The insights and quality services we provide help build trust and confidence in the capital markets and in economies the world over.",3.2,3.6,3.0,3.1,Average,Job Security,Work-Life Balance
IndusInd Bank,https://www.ambitionbox.com/overview/indusind-bank-overview,3.4,14.3k,14300,N/A,N/A,5.0,N/A,N/A,N/A,Average,Salary,Salary
AU Small Finance Bank,https://www.ambitionbox.com/overview/au-small-finance-bank-overview,3.8,14.2k,14200,"Financial Services, Banking","AU Small Finance Bank offer banking services such as personal banking, online banking, internet banking, business & corporate banking, insurance, loans, investments, retail banking & much more.",3.8,3.7,3.7,3.6,Good,Salary,Company Culture
Tata Motors,https://www.ambitionbox.com/overview/tata-motors-overview,4.1,14.2k,14200,"Automobile, Manufacturing","Global leader in automotive manufacturing, driving innovation in electric vehicles and commercial transportation. With over ₹437.9 thousand crore in revenue, it’s shaping the future of mobility.",3.8,4.1,4.0,4.0,Excellent,Job Security,Salary
Muthoot FinCorp,https://www.ambitionbox.com/overview/muthoot-fincorp-overview,4.5,13.2k,13200,N/A,N/A,5.0,N/A,N/A,N/A,Excellent,Salary,Salary
Bajaj Finserv,https://www.ambitionbox.com/overview/bajaj-finserv-overview,4.0,13.1k,13100,N/A,"Bajaj Finserv, India's most diversified NBFC, which provides instant approval on loans and funds in account within 24 hours online conveniently at attractive interest rates with minimal documentation.",4.0,3.8,3.6,3.6,Excellent,Salary,Work-Life Balance
Flipkart,https://www.ambitionbox.com/overview/flipkart-overview,3.9,13k,13000,"Internet, Retail, Logistics",Digital e-commerce store for online shopping.,3.8,3.7,3.7,3.7,Good,Salary,Job Security
PwC,https://www.ambitionbox.com/overview/pwc-overview,3.3,12.6k,12600,N/A,"PwC is a community of solvers combining human ingenuity, experience, technology, and products to help organizations build trust and deliver sustained outcomes.",3.3,3.4,3.0,3.2,Average,Job Security,Work-Life Balance
Mahindra & Mahindra,https://www.ambitionbox.com/overview/mahindra-and-mahindra-overview,4.0,12.1k,12100,"Automobile, Retail",At Mahindra we believe that agility and responsiveness to change are crucial for success. However we also recognise that in this new world our customers want more than just a profit-oriented approach.,3.7,4.0,3.8,3.8,Excellent,Job Security,Salary
Infosys BPM ,https://www.ambitionbox.com/overview/infosys-bpm-overview,3.5,12.1k,12100,"BPO, Financial Services","Infosys BPM, the business process management subsidiary of Infosys Limited, provides end-to-end transformative Digital BPM services for global enterprises.",2.7,4.1,3.5,3.6,Good,Job Security,Salary
HDFC Life,https://www.ambitionbox.com/overview/hdfc-life-overview,3.8,12.1k,12100,N/A,N/A,5.0,N/A,N/A,N/A,Good,Salary,Salary
DXC Technology,https://www.ambitionbox.com/overview/dxc-technology-overview,3.6,12k,12000,IT Services & Consulting,"DXC Technology helps global companies run their mission-critical systems and operations while modernizing IT and ensuring security and scalability across public, private and hybrid clouds.",3.0,3.6,3.8,3.5,Good,Work-Life Balance,Salary
Bandhan Bank,https://www.ambitionbox.com/overview/bandhan-bank-overview,3.7,11.2k,11200,"Financial Services, Banking","Financial institution focused on micro and general banking services, aiming to enhance financial inclusion and provide comprehensive solutions for underserved clients.",3.5,3.7,3.6,3.5,Good,Job Security,Salary
Digitide Solutions,https://www.ambitionbox.com/overview/conneqt-business-solutions-overview,3.5,10.4k,10400,IT Services & Consulting,"Conneqt Business Solutions delivers customer lifecycle management and business process solutions, enhancing client experiences through advanced technologies and analytics.",3.0,3.4,3.4,3.3,Good,Job Security,Salary
Mphasis,https://www.ambitionbox.com/overview/mphasis-overview,3.3,10.3k,10300,"IT Services & Consulting, Financial Services, Insurance","At Mphasis, engineering is in our DNA. We lead with design and architecture to deliver a portfolio of next-gen offerings and services that blend our deep domain expertise with cutting-edge technology.",2.7,3.4,3.5,3.2,Average,Work-Life Balance,Salary
Yes Bank,https://www.ambitionbox.com/overview/yes-bank-overview,3.7,10.2k,10200,"Financial Services, Banking",Yes Bank operates as a full-service commercial bank offering a diverse range of financial products and digital services across India to corporate and retail clients.,3.7,3.3,3.6,3.4,Good,Salary,Job Security
Tata Steel,https://www.ambitionbox.com/overview/tata-steel-overview,4.0,9.9k,9900,Manufacturing,"One of the global leader in steel manufacturing, with over $26B in revenue, driving sustainable growth and innovation across industries like automotive, construction, and infrastructure.",3.5,4.0,4.0,3.9,Excellent,Job Security,Salary
Quess,https://www.ambitionbox.com/overview/quess-overview,3.8,9.8k,9800,Telecom,"Staffing. Simplified. | 4.59L+ strong workforce | 8 countries | AI-led, future-ready solutions | #GPTW2025",3.5,3.4,3.7,3.6,Good,Work-Life Balance,Job Security
Asian Paints,https://www.ambitionbox.com/overview/asian-paints-overview,3.9,9.6k,9600,N/A,N/A,5.0,N/A,N/A,N/A,Good,Salary,Salary
Maruti Suzuki,https://www.ambitionbox.com/overview/maruti-suzuki-overview,4.1,9.5k,9500,"Automobile, Manufacturing",Automobile,4.2,4.2,3.9,3.9,Excellent,Salary,Work-Life Balance
